City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ancud,-41.8697,-73.8203,275.45,85,30,3.07,CL,1689563602
84,eastham,41.8301,-69.9739,296.48,86,100,4.02,US,1689563790
85,port elizabeth,-33.918,25.5701,281.31,93,0,2.06,ZA,1689563530
86,olonkinbyen,70.9221,-8.7187,277.23,96,100,9.79,SJ,1689563792
87,richards bay,-28.783,32.0377,288.87,87,0,1.79,ZA,1689563792
88,kapa'a,22.0752,-159.319,302.14,83,75,8.75,US,1689563792
89,edinburgh of the seven seas,-37.0676,-12.3116,286.13,67,1,12.1,SH,1689563793
90,brookings,44.3114,-96.7984,290.98,77,0,2.57,US,1689563566
91,kilindoni,-7.9139,39.6668,297.87,76,0,8.09,TZ,1689563793
92,nabire,-3.3667,135.4833,298.54,85,100,1.78,ID,1689563793
93,zeya,53.75,127.2667,304.41,35,27,2.83,RU,1689563794
94,guerrero negro,27.9769,-114.0611,293.91,81,16,5.74,MX,1689563512
95,feicheng,35.2606,117.9675,303.97,49,1,5.01,CN,1689563794
96,coquimbo,-29.9533,-71.3436,286.0,94,75,4.12,CL,1689563596
97,kattivakkam,13.2167,80.3167,304.2,73,100,4.56,IN,1689563795
98,lobito,-12.3481,13.5456,294.4,77,4,2.23,AO,1689563795
99,iqaluit,63.7506,-68.5145,279.0,100,100,2.57,CA,1689563795
100,ulsteinvik,62.3432,5.8487,289.81,88,96,6.26,NO,1689563795
101,lihue,21.9789,-159.3672,301.73,79,75,8.75,US,1689563795
102,margaret river,-33.95,115.0667,288.19,71,81,2.87,AU,1689563796
103,waiuku,-37.25,174.75,289.4,78,7,4.94,NZ,1689563796
104,zaozersk,69.4005,32.4476,288.48,71,100,1.81,RU,1689563796
105,bilibino,68.0546,166.4372,300.9,28,89,5.12,RU,1689563796
106,puerto ayora,-0.7393,-90.3518,298.46,95,57,2.68,EC,1689563570
107,rongelap,11.1635,166.8941,301.6,77,99,6.41,MH,1689563797
108,terbanggi besar,-4.8667,105.2333,301.7,70,2,2.21,ID,1689563797
109,vilyuchinsk,52.9306,158.4028,292.3,85,61,1.67,RU,1689563797
110,nha trang,12.25,109.1833,306.15,54,100,1.7,VN,1689563797
111,makokou,0.5738,12.8642,294.22,95,55,1.33,GA,1689563797
112,bardai,11.65,7.2333,297.8,68,82,1.9,NG,1689563798
113,igarka,67.4667,86.5833,285.48,53,8,4.48,RU,1689563798
114,shiraoi,42.55,141.35,300.79,87,99,2.06,JP,1689563798
115,vorgashor,67.5833,63.95,288.16,91,100,4.49,RU,1689563798
116,labrador city,52.9463,-66.9114,292.1,82,100,3.09,CA,1689563798
117,ketchikan,55.3422,-131.6461,290.41,77,75,5.66,US,1689563798
118,abqaiq,25.9371,49.6776,307.25,13,3,4.26,SA,1689563799
119,san antonio de pale,-1.4014,5.6325,295.96,82,30,6.03,GQ,1689563799
120,la passe,45.5549,-0.8967,288.14,80,0,1.28,FR,1689563799
121,mil'kovo,55.6078,37.7956,289.88,80,0,2.05,RU,1689563799
122,east end,34.5507,-92.341,299.6,94,69,2.42,US,1689563800
123,iskateley,67.6803,53.1512,289.36,81,90,4.55,RU,1689563800
124,ribeira grande,38.5167,-28.7,291.36,83,17,3.13,PT,1689563590
125,qarah bagh,34.9402,61.7759,300.06,18,0,4.22,AF,1689563800
126,funehikimachi-funehiki,37.4333,140.5833,305.79,45,3,3.31,JP,1689563800
127,porto san giorgio,43.1827,13.7934,301.48,53,0,2.64,IT,1689563800
128,saldanha,-33.0117,17.9442,286.44,87,100,1.06,ZA,1689563801
129,merizo village,13.2658,144.6691,304.46,83,100,5.98,GU,1689563801
130,prince rupert,54.3161,-130.3201,288.2,86,100,2.57,CA,1689563570
131,inhambane,-23.865,35.3833,289.47,80,9,1.76,MZ,1689563801
132,college,64.8569,-147.8028,295.14,46,75,3.09,US,1689563801
133,chipata,-13.6333,32.65,283.92,69,0,2.44,ZM,1689563801
134,plymouth,41.8334,-70.8328,296.27,90,100,3.6,US,1689563758
135,at taj,24.2049,23.2857,299.93,16,0,2.67,LY,1689563802
136,hawaiian paradise park,19.5933,-154.9731,299.28,82,100,3.6,US,1689563802
137,fada,9.5667,8.3,293.48,96,63,0.99,NG,1689563802
138,kedougou,12.5579,-12.1743,295.59,96,100,1.66,SN,1689563802
139,crockett,31.3182,-95.4566,301.14,78,0,2.06,US,1689563769
140,hovd,48.0056,91.6419,297.51,25,0,2.09,MN,1689563631
141,puerto deseado,-47.7503,-65.8938,273.37,56,21,7.4,AR,1689563803
142,sorong,-0.8833,131.25,299.71,83,100,4.39,ID,1689563803
143,novo aripuana,-5.1206,-60.3797,298.7,70,87,0.37,BR,1689563803
144,karlivka,49.4567,35.1295,289.03,72,0,2.17,UA,1689563803
145,barra de santo antonio,-9.4047,-35.5072,296.75,84,47,3.66,BR,1689563804
146,kalymnos,36.95,26.9833,300.89,50,0,5.14,GR,1689563804
147,tateyama,34.9833,139.8667,305.11,62,20,2.57,JP,1689563804
148,geraldton,-28.7667,114.6,288.38,63,0,0.51,AU,1689563804
149,ola,59.5833,151.2833,294.34,83,25,3.96,RU,1689563804
150,mahibadhoo,3.7833,72.9667,301.94,75,87,6.26,MV,1689563804
151,berdigestyakh,62.0989,126.6992,292.11,37,68,3.03,RU,1689563805
152,ilulissat,69.2167,-51.1,278.16,100,100,1.03,GL,1689563805
153,bridport,50.7338,-2.7583,288.46,92,9,5.18,GB,1689563805
154,fort bragg,35.139,-79.006,299.77,84,0,0.0,US,1689563805
155,colonia,50.9333,6.95,290.9,72,0,1.54,DE,1689563590
156,carnarvon,-24.8667,113.6333,292.65,27,0,2.7,AU,1689563806
157,matthew town,20.95,-73.6667,301.5,83,0,7.8,BS,1689563806
158,nova sintra,14.8667,-24.7167,295.72,86,96,4.83,CV,1689563806
159,sao luis,-2.5297,-44.3028,301.26,83,0,3.09,BR,1689563806
160,neijiang,29.5835,105.0622,303.29,70,0,0.54,CN,1689563806
161,soio,-6.1349,12.3689,293.43,94,4,2.49,AO,1689563807
162,camana,-16.6228,-72.7111,290.28,84,3,3.88,PE,1689563807
163,sao raimundo nonato,-9.0153,-42.6994,294.87,52,5,1.31,BR,1689563807
164,xinzhi,36.4989,111.7047,306.25,28,0,1.44,CN,1689563807
165,orapa,-21.2833,25.3667,283.66,41,84,3.59,BW,1689563807
166,nieves,15.3274,120.9485,298.88,85,100,5.28,PH,1689563807
167,dauphin,51.1494,-100.0502,285.23,94,40,2.06,CA,1689563808
168,murzuq,25.9155,13.9184,300.73,17,49,3.69,LY,1689563808
169,pachino,36.7186,15.0907,300.76,54,0,1.84,IT,1689563808
170,vadso,70.0744,29.7487,286.64,87,75,5.14,NO,1689563809
171,westport,41.1415,-73.3579,297.94,92,75,1.54,US,1689563809
172,ta`u,-14.2336,-169.5144,300.09,77,24,7.09,AS,1689563809
173,nueva rosita,27.95,-101.2167,307.28,20,6,7.05,MX,1689563809
174,codrington,-38.2667,141.9667,286.11,64,0,5.76,AU,1689563809
175,rikaze,29.25,88.8833,289.85,52,97,0.31,CN,1689563809
176,amreli,21.6167,71.2333,300.8,78,28,3.46,IN,1689563810
177,anisoc,1.8658,10.7689,294.14,98,77,0.88,GQ,1689563810
178,yellowknife,62.456,-114.3525,294.44,52,100,3.09,CA,1689563810
179,al qadarif,14.0349,35.3834,298.58,69,49,6.86,SD,1689563810
180,arawa,-6.2132,155.5367,301.87,85,85,0.79,PG,1689563810
181,kodiak,57.79,-152.4072,285.88,82,100,1.54,US,1689563810
182,portland,45.5234,-122.6762,301.6,46,20,5.14,US,1689563519
183,basco,20.4487,121.9702,302.57,81,100,4.0,PH,1689563812
184,soe,-9.8607,124.284,298.36,51,68,4.58,ID,1689563812
185,colon,9.3592,-79.9014,296.99,90,100,1.79,PA,1689563813
186,puerto baquerizo moreno,-0.9,-89.6,298.14,85,58,5.56,EC,1689563813
187,udachny,66.4167,112.4,283.4,87,100,5.35,RU,1689563813
188,kimbe,-5.5502,150.1429,305.24,54,19,5.07,PG,1689563813
189,punta arenas,-53.15,-70.9167,277.21,75,75,8.23,CL,1689563687
190,utrik,11.2278,169.8474,301.23,79,75,6.97,MH,1689563813
191,afaahiti,-17.75,-149.2833,300.08,57,2,1.42,PF,1689563814
192,zemio,5.0314,25.1361,293.22,90,7,0.76,CF,1689563814
193,kani keli,-12.9536,45.1033,297.74,71,1,7.51,YT,1689563814
194,suva,-18.1416,178.4415,296.86,78,75,4.63,FJ,1689563546
195,tadine,-21.55,167.8833,294.93,67,59,8.06,NC,1689563814
196,stellenbosch,-33.9346,18.8668,287.49,75,91,2.95,ZA,1689563815
197,mikashevichy,52.2173,27.476,291.96,86,52,2.66,BY,1689563815
198,christchurch,-43.5333,172.6333,289.53,58,15,2.57,NZ,1689563815
199,coahuayana de hidalgo,18.7,-103.6583,300.36,87,27,0.81,MX,1689563815
200,anadyr,64.75,177.4833,298.43,38,0,5.0,RU,1689563816
